epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11092.9,1.09543,1.0791,0.01636,0.7518,0.61368,0.68839,0.47643,1.21812,1.36188,0.02211,0.0011882,0.0011882,0.0011882
43,11355.5,1.08207,1.06177,0.01608,0.73774,0.61792,0.68819,0.48015,1.20297,1.3414,0.02175,0.0011684,0.0011684,0.0011684
44,11618.6,1.07846,1.05756,0.01609,0.71772,0.62847,0.68477,0.47609,1.21737,1.34122,0.022,0.0011486,0.0011486,0.0011486
45,11880,1.08268,1.05249,0.01592,0.73974,0.60331,0.68086,0.47309,1.22029,1.39927,0.02202,0.0011288,0.0011288,0.0011288
46,12140.2,1.07293,1.04029,0.01585,0.73882,0.62646,0.68695,0.47785,1.21707,1.3715,0.02189,0.001109,0.001109,0.001109
47,12400.6,1.07038,1.03909,0.01597,0.75355,0.61319,0.68893,0.48158,1.19975,1.35634,0.02158,0.0010892,0.0010892,0.0010892
48,12662.4,1.073,1.02725,0.01566,0.74954,0.61283,0.68626,0.48044,1.19629,1.35967,0.02151,0.0010694,0.0010694,0.0010694
49,12922.7,1.0648,1.01818,0.01566,0.75398,0.61696,0.69117,0.48316,1.19422,1.36678,0.02147,0.0010496,0.0010496,0.0010496
50,13187.3,1.05654,1.01543,0.01556,0.75334,0.62336,0.69624,0.48819,1.19357,1.34308,0.02142,0.0010298,0.0010298,0.0010298
51,13463.4,1.05081,1.00217,0.01564,0.76865,0.61721,0.69732,0.49209,1.18577,1.34207,0.02129,0.00101,0.00101,0.00101
52,13740,1.05567,0.99739,0.01558,0.73896,0.62414,0.69133,0.48774,1.19264,1.34993,0.02144,0.0009902,0.0009902,0.0009902
53,14002.4,1.0484,0.99731,0.01551,0.73379,0.62903,0.68864,0.48673,1.19389,1.36429,0.0214,0.0009704,0.0009704,0.0009704
54,14264.7,1.04557,0.97972,0.01533,0.73807,0.62426,0.68604,0.48733,1.18155,1.37492,0.0211,0.0009506,0.0009506,0.0009506
55,14541.8,1.04652,0.98004,0.01529,0.74325,0.63305,0.69387,0.49178,1.1813,1.34554,0.0211,0.0009308,0.0009308,0.0009308
56,14818.4,1.03699,0.95981,0.01544,0.74541,0.63384,0.69511,0.4942,1.17418,1.34068,0.02099,0.000911,0.000911,0.000911
57,15083.8,1.03498,0.95759,0.01515,0.74649,0.6309,0.6956,0.49397,1.17447,1.35249,0.02093,0.0008912,0.0008912,0.0008912
58,15348,1.03109,0.95769,0.01509,0.76886,0.63034,0.70011,0.49766,1.1787,1.34326,0.02104,0.0008714,0.0008714,0.0008714
59,15612.9,1.0295,0.94452,0.01512,0.75003,0.62629,0.69389,0.49326,1.17704,1.36224,0.02099,0.0008516,0.0008516,0.0008516
60,15883,1.02087,0.93973,0.01495,0.75069,0.62906,0.69731,0.49452,1.17366,1.35282,0.021,0.0008318,0.0008318,0.0008318
61,16141.1,1.02,0.93861,0.01508,0.74423,0.63873,0.70334,0.49823,1.17414,1.33554,0.02103,0.000812,0.000812,0.000812
62,16400.7,1.02471,0.94266,0.01497,0.74514,0.63555,0.70061,0.49688,1.17625,1.33824,0.02107,0.0007922,0.0007922,0.0007922
63,16658.3,1.00815,0.92964,0.01478,0.72865,0.64256,0.69885,0.49543,1.17479,1.34189,0.02102,0.0007724,0.0007724,0.0007724
64,16912.8,1.01378,0.91425,0.0147,0.74048,0.63275,0.69839,0.49571,1.17121,1.33986,0.02096,0.0007526,0.0007526,0.0007526
65,17165.5,1.00763,0.91657,0.0146,0.73649,0.63442,0.69759,0.49531,1.17065,1.34139,0.02092,0.0007328,0.0007328,0.0007328
66,17426.8,1.00895,0.91849,0.0147,0.74087,0.63533,0.69743,0.49403,1.17429,1.34315,0.02101,0.000713,0.000713,0.000713
67,17688.6,1.00725,0.90597,0.0146,0.74122,0.63425,0.69782,0.49513,1.17302,1.34197,0.02095,0.0006932,0.0006932,0.0006932
68,17943.6,1.00084,0.89006,0.01446,0.74759,0.64216,0.70187,0.49848,1.17191,1.33387,0.02089,0.0006734,0.0006734,0.0006734
69,18195.6,0.99433,0.8965,0.01446,0.75093,0.64048,0.70294,0.50001,1.16928,1.32909,0.02085,0.0006536,0.0006536,0.0006536
